User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
70962,F,35,S,Regular,Yes,Yes,No,No,'Website Account'
63570,M,61,M,Frequent,Yes,No,Yes,No,'Website Account'
35783,M,58,S,Seldom,Yes,No,Yes,No,'Website Account'
44534,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
35863,M,17,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
42424,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
63405,F,55,S,Seldom,Yes,No,Yes,No,'Website Account'
79388,F,45,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
86915,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
48018,F,62,M,Seldom,Yes,Yes,Yes,No,'Website Account'
77172,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
76655,F,51,S,Seldom,Yes,No,No,No,'Website Account'
72143,F,50,S,Seldom,Yes,No,No,No,'Website Account'
55848,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
75473,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
79388,F,45,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
77555,M,68,S,Regular,Yes,No,No,Yes,'Credit Card'
76881,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
69195,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
32561,M,65,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
46081,M,28,M,Regular,Yes,Yes,Yes,No,'Website Account'
35169,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
92336,F,34,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
54445,F,33,M,Regular,Yes,No,Yes,No,'Website Account'
84566,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
13957,M,44,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
39308,M,54,M,Seldom,Yes,No,Yes,Yes,'Website Account'
69935,M,28,M,Regular,Yes,No,Yes,No,'Bank Transfer'
97362,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
49903,F,42,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
65341,F,32,S,Seldom,Yes,No,Yes,No,'Website Account'
89520,M,50,S,Frequent,Yes,No,No,No,'Website Account'
24454,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
52421,F,37,S,Seldom,Yes,Yes,Yes,No,'Website Account'
77028,F,43,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
66185,F,33,S,Seldom,Yes,Yes,Yes,No,'Website Account'
76558,F,49,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
83940,F,47,S,Seldom,Yes,Yes,No,No,'Bank Transfer'
10246,F,19,S,Seldom,Yes,No,Yes,Yes,'Website Account'
35169,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
67603,F,62,S,Regular,Yes,Yes,Yes,No,'Website Account'
82082,F,27,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
81277,F,36,S,Regular,Yes,Yes,No,No,'Website Account'
80705,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
70317,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
85169,F,28,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
92932,M,26,M,Regular,Yes,No,Yes,No,'Website Account'
66037,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
31365,F,36,S,Regular,Yes,Yes,Yes,No,'Website Account'
69601,F,62,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
16840,M,27,M,Regular,Yes,No,Yes,No,'Bank Transfer'
19889,M,29,M,Regular,Yes,Yes,Yes,No,'Website Account'
25354,F,40,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
81704,M,19,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
69195,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
92903,F,37,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
14730,M,52,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
96112,M,58,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
45505,M,53,S,Regular,Yes,No,Yes,Yes,'Website Account'
37085,M,26,M,Regular,Yes,No,Yes,No,'Bank Transfer'
75473,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
31265,M,22,M,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
36704,F,55,S,Regular,Yes,Yes,No,No,'Bank Transfer'
64405,M,31,M,Regular,No,No,Yes,No,'Monthly Billing'
92374,F,68,M,Regular,Yes,No,No,No,'Website Account'
50551,M,64,M,Seldom,Yes,Yes,Yes,No,'Monthly Billing'
45785,M,49,M,Regular,Yes,No,Yes,No,'Credit Card'
50777,F,34,S,Regular,Yes,Yes,Yes,No,'Website Account'
51348,M,31,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
37033,F,35,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
83814,F,63,M,Regular,Yes,Yes,Yes,No,'Monthly Billing'
90322,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Website Account'
77172,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
24719,F,23,S,Seldom,Yes,No,No,No,'Credit Card'
86311,F,43,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
47884,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
70731,F,51,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
54239,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
80485,F,67,M,Regular,Yes,No,No,No,'Website Account'
36704,F,55,S,Regular,Yes,Yes,No,No,'Bank Transfer'
74414,M,64,M,Seldom,Yes,Yes,Yes,No,'Monthly Billing'
13172,M,25,M,Seldom,Yes,No,No,No,'Monthly Billing'
49617,F,63,M,Seldom,Yes,No,Yes,No,'Website Account'
30121,F,66,M,Frequent,No,Yes,No,Yes,'Website Account'
13308,F,54,S,Seldom,Yes,No,Yes,Yes,'Credit Card'
47884,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
96893,F,28,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
69715,F,50,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
88464,M,46,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
36277,F,18,S,Seldom,Yes,No,Yes,Yes,'Website Account'
81945,F,32,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
65788,M,31,S,Seldom,Yes,No,Yes,No,'Website Account'
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
79050,M,66,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
59160,M,58,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
85343,F,67,M,Frequent,No,Yes,No,Yes,'Website Account'
54303,F,64,M,Seldom,Yes,No,Yes,No,'Website Account'
70720,F,45,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
88000,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
72282,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
96893,F,28,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
23768,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
55848,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
62131,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
16994,F,67,M,Frequent,No,Yes,No,Yes,'Website Account'
26499,F,33,S,Seldom,Yes,Yes,Yes,No,'Website Account'
98350,F,40,S,Frequent,Yes,No,Yes,No,'Website Account'
29389,M,61,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
42786,M,34,M,Seldom,Yes,No,Yes,Yes,'Website Account'
88464,M,46,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
67767,M,52,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
35993,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
81747,M,26,M,Seldom,Yes,No,No,No,'Monthly Billing'
98275,F,49,M,Regular,No,Yes,Yes,No,'Credit Card'
74414,M,64,M,Seldom,Yes,Yes,Yes,No,'Monthly Billing'
97649,M,35,S,Regular,Yes,No,Yes,Yes,'Website Account'
19016,M,33,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
75222,M,36,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
61278,M,49,S,Seldom,Yes,No,Yes,Yes,'Website Account'
34406,M,34,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
92932,M,26,M,Regular,Yes,No,Yes,No,'Website Account'
16840,M,27,M,Regular,Yes,No,Yes,No,'Bank Transfer'
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
33371,M,49,S,Regular,Yes,Yes,Yes,No,'Website Account'
72282,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
79042,F,52,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
89831,F,58,S,Seldom,Yes,No,Yes,No,'Website Account'
57202,F,53,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
14799,F,55,S,Seldom,Yes,No,Yes,No,'Website Account'
45400,F,40,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
97263,M,29,M,Regular,Yes,No,Yes,No,'Bank Transfer'
75722,M,47,S,Seldom,Yes,No,Yes,Yes,'Website Account'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
72143,F,50,S,Seldom,Yes,No,No,No,'Website Account'
10153,M,46,M,Frequent,Yes,Yes,No,Yes,'Website Account'
41234,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
50695,F,64,S,Seldom,Yes,No,Yes,Yes,'Website Account'
97899,F,50,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
13443,M,45,S,Seldom,Yes,Yes,Yes,Yes,'Website Account'
70962,F,35,S,Regular,Yes,Yes,No,No,'Website Account'
22138,M,54,S,Regular,Yes,No,Yes,Yes,'Website Account'
52205,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
26771,F,68,S,Seldom,Yes,No,Yes,Yes,'Website Account'
95316,F,28,M,Seldom,Yes,No,Yes,Yes,'Website Account'
75222,M,36,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
89985,F,51,M,Regular,No,Yes,Yes,No,'Credit Card'
49019,M,48,S,Seldom,Yes,No,Yes,No,'Credit Card'
94865,M,50,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
40481,F,39,S,Regular,Yes,Yes,No,No,'Website Account'
79836,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
48662,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
48018,F,62,M,Seldom,Yes,Yes,Yes,No,'Website Account'
58585,F,66,M,Seldom,Yes,No,Yes,No,'Website Account'
84631,F,58,S,Regular,Yes,No,No,Yes,'Website Account'
81704,M,19,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
95316,F,28,M,Seldom,Yes,No,Yes,Yes,'Website Account'
26623,F,44,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
93347,F,21,S,Seldom,Yes,No,No,No,'Credit Card'
74055,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
41234,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
26623,F,44,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
92296,M,51,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
75778,M,66,M,Seldom,Yes,No,Yes,No,'Credit Card'
69715,F,50,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
46503,M,41,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
26584,F,34,M,Regular,Yes,No,Yes,No,'Website Account'
19429,M,64,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
28689,F,64,M,Regular,No,Yes,Yes,No,'Bank Transfer'
67586,M,51,M,Seldom,Yes,No,No,Yes,'Credit Card'
98200,F,32,M,Regular,Yes,No,Yes,No,'Website Account'
82405,M,30,M,Regular,Yes,Yes,Yes,No,'Website Account'
67603,F,62,S,Regular,Yes,Yes,Yes,No,'Website Account'
30573,M,54,S,Regular,Yes,No,Yes,Yes,'Website Account'
22561,F,45,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
41234,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
13172,M,25,M,Seldom,Yes,No,No,No,'Monthly Billing'
70317,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
48465,F,36,S,Frequent,Yes,No,Yes,No,'Website Account'
37652,M,69,S,Regular,Yes,No,No,Yes,'Credit Card'
80502,F,37,S,Frequent,Yes,No,Yes,No,'Website Account'
96393,F,24,S,Seldom,Yes,No,No,No,'Credit Card'
30952,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
44534,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
67881,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
15999,F,61,M,Regular,Yes,Yes,Yes,No,'Monthly Billing'
40012,M,45,M,Regular,Yes,No,No,No,'Credit Card'
28689,F,64,M,Regular,No,Yes,Yes,No,'Bank Transfer'
93483,M,48,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
97263,M,29,M,Regular,Yes,No,Yes,No,'Bank Transfer'
58818,M,24,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
13172,M,25,M,Seldom,Yes,No,No,No,'Monthly Billing'
28029,F,67,M,Frequent,No,Yes,No,Yes,'Website Account'
70962,F,35,S,Regular,Yes,Yes,No,No,'Website Account'
20176,F,50,S,Regular,Yes,Yes,Yes,No,'Bank Transfer'
22138,M,54,S,Regular,Yes,No,Yes,Yes,'Website Account'
26056,M,45,S,Seldom,Yes,Yes,Yes,No,'Website Account'
51247,M,35,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
65355,F,21,S,Seldom,Yes,No,Yes,Yes,'Website Account'
92784,M,68,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
31265,M,22,M,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
30377,M,43,M,Seldom,Yes,Yes,Yes,No,'Website Account'
26056,M,45,S,Seldom,Yes,Yes,Yes,No,'Website Account'
92336,F,34,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
27852,M,37,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
77373,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
86453,F,62,M,Regular,No,Yes,Yes,No,'Bank Transfer'
14730,M,52,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
54261,F,63,M,Frequent,Yes,No,No,No,'Monthly Billing'
49408,M,34,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
88795,M,52,M,Seldom,Yes,No,No,Yes,'Credit Card'
29168,F,53,S,Seldom,Yes,No,No,No,'Website Account'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
89822,F,63,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
62258,M,64,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
89880,F,38,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
15810,F,64,M,Seldom,Yes,No,Yes,No,'Website Account'
80584,M,34,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
79934,M,69,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
59160,M,58,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
62131,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
84559,M,36,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
76548,F,52,M,Regular,Yes,Yes,No,No,'Bank Transfer'
31131,F,30,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
28983,F,64,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
61278,M,49,S,Seldom,Yes,No,Yes,Yes,'Website Account'
56380,M,43,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
77373,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
84132,F,22,M,Regular,Yes,Yes,Yes,No,'Credit Card'
89513,M,44,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
54220,F,53,S,Seldom,Yes,No,Yes,Yes,'Credit Card'
59901,F,32,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
67881,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
22402,M,23,M,Regular,Yes,No,Yes,No,'Website Account'
51348,M,31,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
96545,F,61,S,Regular,Yes,Yes,Yes,No,'Website Account'
22561,F,45,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
79050,M,66,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
84132,F,22,M,Regular,Yes,Yes,Yes,No,'Credit Card'
76169,M,33,M,Regular,Yes,No,Yes,No,'Bank Transfer'
98200,F,32,M,Regular,Yes,No,Yes,No,'Website Account'
85169,F,28,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
27878,M,66,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
61668,M,54,S,Seldom,Yes,No,Yes,No,'Website Account'
41234,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
93666,M,66,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
62258,M,64,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
84850,M,45,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
39308,M,54,M,Seldom,Yes,No,Yes,Yes,'Website Account'
24084,M,49,S,Seldom,Yes,No,Yes,No,'Credit Card'
52083,M,47,S,Regular,Yes,Yes,Yes,No,'Website Account'
62258,M,64,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
13880,M,48,S,Seldom,Yes,No,Yes,Yes,'Website Account'
52292,M,22,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
96393,F,24,S,Seldom,Yes,No,No,No,'Credit Card'
16908,F,52,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
85498,M,52,M,Seldom,Yes,Yes,Yes,No,'Website Account'
82082,F,27,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
50209,F,44,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
24454,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
58704,M,43,M,Frequent,Yes,Yes,No,Yes,'Website Account'
75222,M,36,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
67586,M,51,M,Seldom,Yes,No,No,Yes,'Credit Card'
92374,F,68,M,Regular,Yes,No,No,No,'Website Account'
48662,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
98200,F,32,M,Regular,Yes,No,Yes,No,'Website Account'
38914,M,48,M,Regular,Yes,No,No,No,'Credit Card'
76881,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
30952,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
90322,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Website Account'
32227,F,63,M,Regular,No,Yes,Yes,No,'Bank Transfer'
88795,M,52,M,Seldom,Yes,No,No,Yes,'Credit Card'
52945,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
20313,M,52,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
12524,F,27,M,Regular,Yes,Yes,Yes,Yes,'Monthly Billing'
42424,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
31131,F,30,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
64950,M,39,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
82338,M,42,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
27978,F,38,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
96393,F,24,S,Seldom,Yes,No,No,No,'Credit Card'
15083,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
19889,M,29,M,Regular,Yes,Yes,Yes,No,'Website Account'
50777,F,34,S,Regular,Yes,Yes,Yes,No,'Website Account'
58325,M,36,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
54239,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
69601,F,62,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
22144,F,32,S,Seldom,Yes,No,Yes,No,'Website Account'
30377,M,43,M,Seldom,Yes,Yes,Yes,No,'Website Account'
25755,F,67,S,Seldom,Yes,No,Yes,Yes,'Website Account'
37805,F,56,S,Seldom,Yes,No,Yes,No,'Website Account'
47884,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
88778,F,63,M,Seldom,Yes,Yes,Yes,No,'Website Account'
67467,M,47,M,Regular,Yes,No,Yes,No,'Credit Card'
87205,M,53,S,Seldom,Yes,No,Yes,No,'Website Account'
19303,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
84132,F,22,M,Regular,Yes,Yes,Yes,No,'Credit Card'